[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]reasonable	[celex]'ri-zH-@-bP	[nettalk]ri-zxnxbL-
[grapheme]reassure	"[celex]""ri-@-'S$R"	[nettalk]rixS-Ur-
[grapheme]rebate	[celex]'ri-b1t	[nettalk]ribet-
[grapheme]rebel	[celex]rI-'bEl	[nettalk]rIbEl
[grapheme]rebellion	[celex]rI-'bEl-j@n	[nettalk]rIbEl-yxn
[grapheme]rebirth	"[celex]""ri-'b3T"	[nettalk]rib-RT-
[grapheme]rebound	"[celex]""ri-'b6nd"	[nettalk]ribW-nd
[grapheme]rebuff	[celex]rI-'bVf	[nettalk]rIb^f-
[grapheme]rebuke	[celex]rI-'bjuk	[nettalk]rIbYk-
[grapheme]rebus	[celex]'ri-b@s	[nettalk]ribxs
[grapheme]rebut	[celex]rI-'bVt	[nettalk]rIb^t
[grapheme]rebuttal	[celex]rI-'bV-tP	[nettalk]rIb^t--L
[grapheme]recalcitrant	[celex]rI-'k{l-sI-tr@nt	[nettalk]rIk@lsxtrxnt
[grapheme]recall	[celex]rI-'k$l	[nettalk]rIkcl-
[grapheme]recant	[celex]rI-'k{nt	[nettalk]rIk@nt
[grapheme]recantation	"[celex]""ri-k{n-'t1-SH"	[nettalk]rik@nteS-xn
[grapheme]recap	[celex]ri-'k{p	[nettalk]rik@p
[grapheme]recapitulate	"[celex]""ri-k@-'pI-tjU-l1t"	[nettalk]rikxpICxlet-
[grapheme]recede	[celex]rI-'sid	[nettalk]rIsid-
[grapheme]receipt	[celex]rI-'sit	[nettalk]rIsi--t
[grapheme]receivable	[celex]rI-'si-v@-bP	[nettalk]rIsi-vxbL-
[grapheme]receive	[celex]rI-'siv	[nettalk]rIsi-v-
[grapheme]recent	[celex]'ri-sHt	[nettalk]ris-Nt
[grapheme]receptacle	[celex]rI-'sEp-t@-kP	[nettalk]rIsEptIkL-
[grapheme]reception	[celex]rI-'sEp-SH	[nettalk]rIsEpS-xn
[grapheme]receptive	[celex]rI-'sEp-tIv	[nettalk]rIsEptIv-
[grapheme]receptivity	"[celex]""rE-sEp-'tI-v@-tI"	[nettalk]risEptIvxti
[grapheme]recess	[celex]rI-'sEs	[nettalk]risEs-
[grapheme]recession	[celex]rI-'sE-SH	[nettalk]rIsES--xn
[grapheme]recessive	[celex]rI-'sE-sIv	[nettalk]rIsEs-Iv-
[grapheme]recipe	[celex]'rE-sI-pI	[nettalk]rEsxpi
[grapheme]recipient	[celex]rI-'sI-p7nt	[nettalk]rIsIpixnt
[grapheme]reciprocal	[celex]rI-'sI-pr@-kP	[nettalk]rIsIprxk-L
[grapheme]reciprocity	"[celex]""rE-sI-'prQ-s@-tI"	[nettalk]rEsxprasxti
[grapheme]recital	[celex]rI-'s2-tP	[nettalk]rIsAt-L
[grapheme]recitation	"[celex]""rE-sI-'t1-SH"	[nettalk]rEsxteS-xn
[grapheme]recite	[celex]rI-'s2t	[nettalk]rIsAt-
[grapheme]reckless	[celex]'rEk-lIs	[nettalk]rEk-lxs-
[grapheme]reckon	[celex]'rE-k@n	[nettalk]rEk-xn
[grapheme]reclaim	[celex]rI-'kl1m	[nettalk]rIkle-m
[grapheme]reclamation	"[celex]""rE-kl@-'m1-SH"	[nettalk]rEklxmeS-xn
[grapheme]recline	[celex]rI-'kl2n	[nettalk]rIklAn-
[grapheme]recluse	[celex]rI-'klus	[nettalk]rEklus-
[grapheme]recognition	"[celex]""rE-k@g-'nI-SH"	[nettalk]rEkIgnIS-xn
[grapheme]recognizance	[celex]rI-'kQg-nI-z@ns	[nettalk]rIkagnxzxns-
[grapheme]recognize	[celex]'rE-k@g-n2z	[nettalk]rEkIgnAz-
[grapheme]recoil	[celex]rI-'k4l	[nettalk]rIkO-l
[grapheme]recollect	"[celex]""rE-k@-'lEkt"	[nettalk]rEkxl-Ekt
[grapheme]recommend	"[celex]""rE-k@-'mEnd"	[nettalk]rEkxm-End
[grapheme]recompense	[celex]'rE-k@m-pEns	[nettalk]rEkxmpEns-
[grapheme]reconcile	[celex]'rE-k@n-s2l	[nettalk]rEkxnsAl-
[grapheme]reconciliation	"[celex]""rE-k@n-sI-lI-'1-SH"	[nettalk]rEkxnsIlieS-xn
[grapheme]recondite	[celex]'rE-k@n-d2t	[nettalk]rEkxndAt-
[grapheme]reconnaissance	[celex]rI-'kQ-nI-s@ns	[nettalk]rIkan-x-z-xns-
[grapheme]reconsider	"[celex]""ri-k@n-'sI-d@R"	[nettalk]rikxnsId-R
[grapheme]reconstitute	"[celex]""ri-'kQn-stI-tjut"	[nettalk]rikanstxtYt-
[grapheme]reconstruct	"[celex]""ri-k@n-'strVkt"	[nettalk]rikxnstr^kt
[grapheme]record	[celex]rI-'k$d	[nettalk]rIkcrd
[grapheme]recorder	[celex]rI-'k$-d@R	[nettalk]rIkcrd-R
[grapheme]recording	[celex]rI-'k$-dIN	[nettalk]rIkcrdIG-
[grapheme]recount	[celex]rI-'k6nt	[nettalk]rIkW-nt
[grapheme]recoup	[celex]rI-'kup	[nettalk]rIku-p
[grapheme]recourse	[celex]rI-'k$s	[nettalk]riko-rs-
[grapheme]recover	[celex]rI-'kV-v@R	[nettalk]rIk^v-R
[grapheme]recreant	[celex]'rE-kr7nt	[nettalk]rEkrixnt
[grapheme]recreate	"[celex]""ri-kri-'1t"	[nettalk]rEkriet-
[grapheme]recreation	"[celex]""rE-krI-'1-SH"	[nettalk]rEkrieS-xn
[grapheme]recriminate	[celex]rI-'krI-mI-n1t	[nettalk]rIkrImxnet-
[grapheme]recruit	[celex]rI-'krut	[nettalk]rIkru-t
[grapheme]rectal	[celex]'rEk-t@l	[nettalk]rEkt-L
[grapheme]rectangle	"[celex]'rEk-""t{N-gP"	[nettalk]rEkt@GgL-
[grapheme]rectangular	[celex]rEk-'t{N-gjU-l@R	[nettalk]rEkt@GgYl-R
[grapheme]rectification	"[celex]""rEk-tI-fI-'k1-SH"	[nettalk]rEktxfxkeS-xn
[grapheme]rectifier	[celex]'rEk-tI-f2-@R	[nettalk]rEktxfA-R
[grapheme]rectify	[celex]'rEk-tI-f2	[nettalk]rEktxfA
[grapheme]rectilinear	"[celex]""rEk-tI-'lI-n7R"	[nettalk]rEktxlIni-R
[grapheme]rectitude	[celex]'rEk-tI-tjud	[nettalk]rEktxtYd-
[grapheme]recto	[celex]'rEk-t5	[nettalk]rEkto
[grapheme]rector	[celex]'rEk-t@R	[nettalk]rEkt-R
[grapheme]rectory	[celex]'rEk-t@-rI	[nettalk]rEktxri
[grapheme]rectum	[celex]'rEk-t@m	[nettalk]rEktxm
[grapheme]recumbent	[celex]rI-'kVm-b@nt	[nettalk]rIkxmbxnt
[grapheme]recuperate	[celex]rI-'ku-p@-r1t	[nettalk]rIkYpxret-
[grapheme]recur	[celex]rI-'k3R	[nettalk]rIk-R
[grapheme]red	[celex]'rEd	[nettalk]rEd
[grapheme]redbreast	[celex]'rEd-brEst	[nettalk]rEdbrE-st
[grapheme]redden	[celex]'rE-dH	[nettalk]rEd--N
[grapheme]reddish	[celex]'rE-dIS	[nettalk]rEd-IS-
[grapheme]redeem	[celex]rI-'dim	[nettalk]rIdi-m
[grapheme]redemption	[celex]rI-'dEmp-SH	[nettalk]rIdEmpS-xn
[grapheme]redolent	[celex]'rE-d@-l@nt	[nettalk]rEd-Lxnt
[grapheme]redoubt	[celex]rI-'d6t	[nettalk]rIdW--t
[grapheme]redoubtable	[celex]rI-'d6-t@-bP	[nettalk]rIdW--txbL-
[grapheme]redress	"[celex]""ri-'drEs"	[nettalk]rIdrEs-
[grapheme]redskin	[celex]'rEd-skIn	[nettalk]rEdskIn
[grapheme]reduce	[celex]rI-'djus	[nettalk]rIdYs-
[grapheme]reduction	[celex]rI-'dVk-SH	[nettalk]rId^kS-xn
[grapheme]redundancy	[celex]rI-'dVn-d@n-sI	[nettalk]rId^ndxnsi
[grapheme]redwood	[celex]'rEd-wUd	[nettalk]rEdwU-d
[grapheme]reed	[celex]'rid	[nettalk]ri-d
[grapheme]reef	[celex]'rif	[nettalk]ri-f
[grapheme]reefer	[celex]'ri-f@R	[nettalk]ri-f-R
[grapheme]reek	[celex]'rik	[nettalk]ri-k
[grapheme]reel	[celex]'ril	[nettalk]ri-l
[grapheme]reeve	[celex]'riv	[nettalk]ri-v-
[grapheme]refection	[celex]rI-'fEk-SH	[nettalk]rIfEkS-xn
[grapheme]refectory	[celex]rI-'fEk-t@-rI	[nettalk]rIfEktxri
[grapheme]referable	[celex]rI-'f3-r@-bP	[nettalk]rEfxrxbL-
[grapheme]referee	"[celex]""rE-f@-'ri"	[nettalk]rEfxri-
[grapheme]reference	[celex]'rE-fr@ns	[nettalk]rEfxrxns-
[grapheme]referendum	"[celex]""rE-f@-'rEn-d@m"	[nettalk]rEfxrEndxm
[grapheme]refill	"[celex]""ri-'fIl"	[nettalk]rifIl-
[grapheme]refine	[celex]rI-'f2n	[nettalk]rIfAn-
[grapheme]refinement	[celex]rI-'f2n-m@nt	[nettalk]rIfAn-mxnt
[grapheme]refinery	[celex]rI-'f2-n@-rI	[nettalk]rIfAnxri
[grapheme]reflect	[celex]rI-'flEkt	[nettalk]rIflEkt
[grapheme]reflex	[celex]'ri-flEks	[nettalk]riflEX
[grapheme]reflexive	[celex]rI-'flEk-sIv	[nettalk]rIflEXIv-
[grapheme]reforest	[celex]ri-'fQ-rIst	[nettalk]rifcrxst
[grapheme]reforestation	"[celex]ri-""fQ-rI-'st1-SH"	[nettalk]rifcrxsteS-xn
[grapheme]reform	"[celex]""ri-'f$m"	[nettalk]rIfcrm
[grapheme]reformation	"[celex]""rE-f@-'m1-SH"	[nettalk]rEf-RmeS-xn
[grapheme]reformatory	[celex]rI-'f$-m@-t@-rI	[nettalk]rIfcrmxtori
[grapheme]reformer	[celex]rI-'f$-m@R	[nettalk]rIfcrm-R
[grapheme]refract	[celex]rI-'fr{kt	[nettalk]rIfr@kt
[grapheme]refraction	[celex]rI-'fr{k-SH	[nettalk]rIfr@kS-xn
[grapheme]refractory	[celex]rI-'fr{k-t@-rI	[nettalk]rIfr@ktxri
[grapheme]refrain	[celex]rI-'fr1n	[nettalk]rIfre-n
[grapheme]refresh	[celex]rI-'frES	[nettalk]rIfrES-
[grapheme]refrigerate	[celex]rI-'frI-_@-r1t	[nettalk]rIfrIJxret-
[grapheme]refuge	[celex]'rE-fju_	[nettalk]rEfYJ-
[grapheme]refugee	"[celex]""rE-fjU-'_i"	[nettalk]rEfYJi-
[grapheme]refulgence	[celex]rI-'fVl-_@ns	[nettalk]rIfUlJxns-
[grapheme]refund	[celex]ri-'fVnd	[nettalk]rIf^nd
[grapheme]refurbish	"[celex]""ri-'f3-bIS"	[nettalk]rif-RbIS-
[grapheme]refuse	[celex]rI-'fjuz	[nettalk]rIfYz-
[grapheme]refutation	"[celex]""rE-fju-'t1-SH"	[nettalk]rEfYteS-xn
[grapheme]refute	[celex]rI-'fjut	[nettalk]rIfYt-
[grapheme]regain	[celex]rI-'g1n	[nettalk]rige-n
[grapheme]regal	[celex]'ri-gP	[nettalk]rig-L
[grapheme]regalia	[celex]rI-'g1-lj@	[nettalk]rIgelyx
[grapheme]regard	[celex]rI-'g#d	[nettalk]rIgard
[grapheme]regatta	[celex]rI-'g{-t@	[nettalk]rIgat-x
[grapheme]regency	[celex]'ri-_@n-sI	[nettalk]riJxnsi
[grapheme]regenerate	[celex]rI-'_E-n@-r1t	[nettalk]rIJEnxrxt-
[grapheme]regent	[celex]'ri-_@nt	[nettalk]riJxnt
[grapheme]regicide	[celex]'rE-_I-s2d	[nettalk]rEJxsAd-
[grapheme]regime	[celex]r1-'Zim	[nettalk]reZim-
[grapheme]regimen	[celex]'rE-_I-mEn	[nettalk]rEJxmxn
[grapheme]regiment	[celex]'rE-_I-mEnt	[nettalk]rEJxmxnt
[grapheme]regimental	"[celex]""rE-_I-'mEn-tP"	[nettalk]rEJxmEnt-L
[grapheme]regimentals	"[celex]""rE-_I-'mEn-tPz"	[nettalk]rEJxmEnt-Lz
[grapheme]regimentation	"[celex]""rE-_I-mEn-'t1-SH"	[nettalk]rEJxmxnteS-xn
[grapheme]region	[celex]'ri-_@n	[nettalk]riJ-xn
[grapheme]regional	[celex]'ri-_@-nP	[nettalk]riJ-xn-L
[grapheme]register	[celex]'rE-_I-st@R	[nettalk]rEJxst-R
[grapheme]registration	"[celex]""rE-_Is-'tr1-SH"	[nettalk]rEJxstreS-xn
[grapheme]registry	[celex]'rE-_Is-trI	[nettalk]rEJxstri
[grapheme]regress	[celex]rI-'grEs	[nettalk]rIgrEs-
[grapheme]regret	[celex]rI-'grEt	[nettalk]rIgrEt
[grapheme]regular	[celex]'rE-gjU-l@R	[nettalk]rEgYl-R
[grapheme]regularity	"[celex]""rE-gjU-'l{-r@-tI"	[nettalk]rEgYl@rxti
[grapheme]regularize	[celex]'rE-gjU-l@-r2z	[nettalk]rEgYlxrAz-
[grapheme]regulate	[celex]'rE-gjU-l1t	[nettalk]rEgYlet-
[grapheme]regulation	"[celex]""rE-gjU-'l1-SH"	[nettalk]rEgYleS-xn
[grapheme]regurgitate	[celex]rI-'g3-_I-t1t	[nettalk]rig-RJxtet-
[grapheme]rehabilitate	"[celex]""ri-@-'bI-lI-t1t"	[nettalk]rihxbIlxtet-
[grapheme]rehash	"[celex]""ri-'h{S"	[nettalk]rih@S-
[grapheme]rehearing	"[celex]""ri-'h7-rIN"	[nettalk]rihI-rIG-
[grapheme]rehearsal	[celex]rI-'h3-sP	[nettalk]rIh--Rs-L
[grapheme]rehearse	[celex]rI-'h3s	[nettalk]rIh--Rs-
[grapheme]reign	[celex]'r1n	[nettalk]re--n
[grapheme]reimburse	"[celex]""ri-Im-'b3s"	[nettalk]rixmb-Rs-
[grapheme]rein	[celex]'r1n	[nettalk]re-n
[grapheme]reincarnate	"[celex]""ri-In-'k#-n1t"	[nettalk]riInkarnet-
[grapheme]reincarnation	"[celex]""ri-In-k#-'n1-SH"	[nettalk]riInkarneS-xn
[grapheme]reindeer	"[celex]'r1n-""d7R"	[nettalk]re-ndI-r
[grapheme]reinforce	"[celex]""ri-In-'f$s"	[nettalk]rixnfors-
[grapheme]reinstate	"[celex]""ri-In-'st1t"	[nettalk]rixnstet-
[grapheme]reiterate	[celex]ri-'I-t@-r1t	[nettalk]riItxret-
[grapheme]reject	[celex]rI-'_Ekt	[nettalk]rIJEkt
[grapheme]rejoice	[celex]rI-'_4s	[nettalk]rIJO-s-
[grapheme]rejoinder	[celex]rI-'_4n-d@R	[nettalk]rIJO-nd-R
[grapheme]rejuvenate	[celex]rI-'_u-v@-n1t	[nettalk]rIJuvxnet-
[grapheme]relapse	[celex]rI-'l{ps	[nettalk]rIl@ps-
[grapheme]relate	[celex]rI-'l1t	[nettalk]rIlet-
[grapheme]relation	[celex]rI-'l1-SH	[nettalk]rIleS-xn
[grapheme]relative	[celex]'rE-l@-tIv	[nettalk]rElxtIv-
[grapheme]relativity	"[celex]""rE-l@-'tI-v@-tI"	[nettalk]rElxtIvxti
[grapheme]relax	[celex]rI-'l{ks	[nettalk]rIl@X
[grapheme]relaxation	"[celex]""ri-l{k-'s1-SH"	[nettalk]ril@XeS-xn
[grapheme]relay	[celex]ri-'l1	[nettalk]rile-
[grapheme]release	[celex]rI-'lis	[nettalk]rIli-s-
[grapheme]relegate	[celex]'rE-lI-g1t	[nettalk]rElxget-
[grapheme]relegation	"[celex]""rE-lI-'g1-SH"	[nettalk]rElxgeS-xn
[grapheme]relent	[celex]rI-'lEnt	[nettalk]rIlEnt
[grapheme]relevance	[celex]'rE-l@-v@ns	[nettalk]rElxvxns-
[grapheme]reliable	[celex]rI-'l2-@-bP	[nettalk]rIlAxbL-
[grapheme]reliance	[celex]rI-'l2-@ns	[nettalk]rIlAxns-
[grapheme]relic	[celex]'rE-lIk	[nettalk]rElIk
[grapheme]relict	[celex]'rE-lIkt	[nettalk]rElIkt
[grapheme]relief	[celex]rI-'lif	[nettalk]rIli-f
[grapheme]relieve	[celex]rI-'liv	[nettalk]rIli-v-
[grapheme]religion	[celex]rI-'lI-_@n	[nettalk]rIlIJ-xn
[grapheme]religious	[celex]rI-'lI-_@s	[nettalk]rIlIJ-x-s
[grapheme]relinquish	[celex]rI-'lIN-kwIS	[nettalk]rIlIGkwIS-
[grapheme]reliquary	[celex]'rE-lI-kw@-rI	[nettalk]rElxkwEri
[grapheme]relish	[celex]'rE-lIS	[nettalk]rElIS-
[grapheme]reluctance	[celex]rI-'lVk-t@ns	[nettalk]rIl^ktxns-
[grapheme]remain	[celex]rI-'m1n	[nettalk]rIme-n
[grapheme]remand	[celex]rI-'m#nd	[nettalk]rIm@nd
[grapheme]remark	[celex]rI-'m#k	[nettalk]rImark
[grapheme]remarkable	[celex]rI-'m#-k@-bP	[nettalk]rImarkxbL-
[grapheme]remediable	[celex]rI-'mi-dj@-bP	[nettalk]rImidixbL-
[grapheme]remedial	[celex]rI-'mi-dj@l	[nettalk]rImidi-L
[grapheme]remedy	[celex]'rE-m@-dI	[nettalk]rEmxdi
[grapheme]remember	[celex]rI-'mEm-b@R	[nettalk]rImEmb-R
[grapheme]remind	[celex]rI-'m2nd	[nettalk]rImAnd
[grapheme]reminisce	"[celex]""rE-mI-'nIs"	[nettalk]rEmxnIs--
[grapheme]remiss	[celex]rI-'mIs	[nettalk]rImIs-
[grapheme]remission	[celex]rI-'mI-SH	[nettalk]rImIS--xn
[grapheme]remit	[celex]rI-'mIt	[nettalk]rImIt
[grapheme]remittance	[celex]rI-'mI-t@ns	[nettalk]rImIt--Ns-
[grapheme]remnant	[celex]'rEm-n@nt	[nettalk]rEmnxnt
[grapheme]remodel	"[celex]""ri-'mQ-dP"	[nettalk]rimad-L
[grapheme]remonstrance	[celex]rI-'mQn-str@ns	[nettalk]rImanstrxns-
[grapheme]remonstrate	[celex]'rE-m@n-str1t	[nettalk]rImanstret-
[grapheme]remorse	[celex]rI-'m$s	[nettalk]rImcrs-
[grapheme]remote	[celex]rI-'m5t	[nettalk]rImot-
[grapheme]remount	"[celex]""ri-'m6nt"	[nettalk]rimW-nt
[grapheme]remove	[celex]rI-'muv	[nettalk]rImuv-
[grapheme]remunerate	[celex]rI-'mju-n@-r1t	[nettalk]rImYnxret-
[grapheme]renaissance	[celex]r@-'n1-s@ns	[nettalk]rEnx-s-ans-
[grapheme]renal	[celex]'ri-nP	[nettalk]rin-L
[grapheme]renascence	[celex]rI-'n{-sHs	[nettalk]rIn@s--Ns-
[grapheme]rend	[celex]'rEnd	[nettalk]rEnd
[grapheme]render	[celex]'rEn-d@R	[nettalk]rEnd-R
[grapheme]rendezvous	[celex]'rQn-dI-vu	[nettalk]randI-vu--
[grapheme]rendition	[celex]rEn-'dI-SH	[nettalk]rEndIS-xn
[grapheme]renegade	[celex]'rE-nI-g1d	[nettalk]rEnIged-
[grapheme]renege	[celex]rI-'nig	[nettalk]rInIg-
[grapheme]renew	[celex]rI-'nju	[nettalk]rInY-
[grapheme]renounce	[celex]rI-'n6ns	[nettalk]rInW-ns-
[grapheme]renovate	[celex]'rE-n5-v1t	[nettalk]rEnxvet-
[grapheme]renovation	"[celex]""rE-n5-'v1-SH"	[nettalk]rEnxveS-xn
[grapheme]renovator	[celex]'rE-n5-v1-t@R	[nettalk]rEnxvet-R
[grapheme]renown	[celex]rI-'n6n	[nettalk]rInW-n
[grapheme]rent	[celex]'rEnt	[nettalk]rEnt
[grapheme]rental	[celex]'rEn-tP	[nettalk]rEnt-L
[grapheme]renunciation	"[celex]rI-""nVn-sI-'1-SH"	[nettalk]rInxnsieS-xn
[grapheme]reorganize	"[celex]""ri-'$-g@-n2z"	[nettalk]ricrgxnAz-
[grapheme]repair	[celex]rI-'p8R	[nettalk]rIp@-r
[grapheme]reparation	"[celex]""rE-p@-'r1-SH"	[nettalk]rEpxreS-xn
[grapheme]repartee	"[celex]""rE-p#-'ti"	[nettalk]rEp-Rti-
[grapheme]repast	[celex]rI-'p#st	[nettalk]rIp@st
[grapheme]repay	[celex]ri-'p1	[nettalk]ripe-
[grapheme]repeal	[celex]rI-'pil	[nettalk]rIpi-l
[grapheme]repeat	[celex]rI-'pit	[nettalk]rIpi-t
[grapheme]repel	[celex]rI-'pEl	[nettalk]rIpEl
[grapheme]repent	[celex]rI-'pEnt	[nettalk]rIpEnt
[grapheme]repentance	[celex]rI-'pEn-t@ns	[nettalk]rIpEnt-Ns-
[grapheme]repercussion	"[celex]""ri-p@-'kV-SH"	[nettalk]rip-Rk^S--xn
[grapheme]repertoire	[celex]'rE-p@-tw#R	[nettalk]rEp-Rt+-r-
[grapheme]repetition	"[celex]""rE-pI-'tI-SH"	[nettalk]rEpxtIS-xn
[grapheme]repetitive	[celex]rI-'pE-t@-tIv	[nettalk]rIpEtxtIv-
[grapheme]repine	[celex]rI-'p2n	[nettalk]rIpAn-
[grapheme]replace	[celex]rI-'pl1s	[nettalk]rIples-
[grapheme]replacement	[celex]rI-'pl1s-m@nt	[nettalk]rIples-mxnt
[grapheme]replenish	[celex]rI-'plE-nIS	[nettalk]rIplEnIS-
[grapheme]replete	[celex]rI-'plit	[nettalk]rIplit-
[grapheme]repletion	[celex]rI-'pli-SH	[nettalk]rIpliS-xn
[grapheme]replica	[celex]'rE-plI-k@	[nettalk]rEplIkx
[grapheme]reply	[celex]rI-'pl2	[nettalk]rIplA
[grapheme]report	[celex]rI-'p$t	[nettalk]rIport
[grapheme]repose	[celex]rI-'p5z	[nettalk]rIpoz-
[grapheme]repository	[celex]rI-'pQ-zI-t@-rI	[nettalk]rIpazxtori
[grapheme]repossess	"[celex]""ri-p@-'zEs"	[nettalk]ripxz-Es-
[grapheme]reprehend	"[celex]""rE-prI-'hEnd"	[nettalk]rEprIhEnd
[grapheme]represent	"[celex]""rE-prI-'zEnt"	[nettalk]rEprIzEnt
[grapheme]repress	[celex]rI-'prEs	[nettalk]rIprEs-
[grapheme]reprieve	[celex]rI-'priv	[nettalk]rIpri-v-
[grapheme]reprimand	[celex]'rE-prI-m#nd	[nettalk]rEprxm@nd
[grapheme]reprisal	[celex]rI-'pr2-zP	[nettalk]rIprAz-L
[grapheme]reproach	[celex]rI-'pr5J	[nettalk]rIpro-C-
[grapheme]reprobate	[celex]'rE-pr5-b1t	[nettalk]rEprxbet-
[grapheme]reprobation	"[celex]""rE-pr5-'b1-SH"	[nettalk]rEprxbeS-xn
[grapheme]reproduce	"[celex]""ri-pr@-'djus"	[nettalk]riprxdYs-
[grapheme]reproof	"[celex]""ri-'pruf"	[nettalk]rIpru-f
[grapheme]reprove	[celex]rI-'pruv	[nettalk]rIpruv-
[grapheme]reptile	[celex]'rEp-t2l	[nettalk]rEpt-L-
[grapheme]reptilian	[celex]rEp-'tI-l7n	[nettalk]rEptIlixn
[grapheme]republic	[celex]rI-'pV-blIk	[nettalk]rIp^blIk
[grapheme]repudiate	[celex]rI-'pju-dI-1t	[nettalk]rIpYdiet-
[grapheme]repugnance	[celex]rI-'pVg-n@ns	[nettalk]rIp^gnxns-
[grapheme]repulse	[celex]rI-'pVls	[nettalk]rIp^ls-
[grapheme]repulsion	[celex]rI-'pVl-SH	[nettalk]rIp^lS-xn
[grapheme]repulsive	[celex]rI-'pVl-sIv	[nettalk]rIp^lsIv-
[grapheme]reputable	[celex]'rE-pjU-t@-bP	[nettalk]rEpYtxbL-
[grapheme]reputation	"[celex]""rE-pjU-'t1-SH"	[nettalk]rEpYteS-xn
[grapheme]repute	[celex]rI-'pjut	[nettalk]rIpYt-
[grapheme]reputed	[celex]rI-'pju-tId	[nettalk]rIpYtxd
[grapheme]request	[celex]rI-'kwEst	[nettalk]rIkwEst
[grapheme]requiem	[celex]'rE-kw7m	[nettalk]rEkwixm
[grapheme]require	[celex]rI-'kw2-@R	[nettalk]rIkwAr-
[grapheme]requisite	[celex]'rE-kwI-zIt	[nettalk]rEkwxzxt-
[grapheme]requisition	"[celex]""rE-kwI-'zI-SH"	[nettalk]rEkwxzIS-xn
[grapheme]requite	[celex]rI-'kw2t	[nettalk]rIkwAt-
[grapheme]rerun	[celex]ri-'rVn	[nettalk]rir^n
[grapheme]rescind	[celex]rI-'sInd	[nettalk]rIs-Ind
[grapheme]rescript	[celex]'ri-skrIpt	[nettalk]riskrIpt
[grapheme]rescue	[celex]'rE-skju	[nettalk]rEskY-
[grapheme]research	[celex]rI-'s3J	[nettalk]rIs--RC-
[grapheme]resemblance	[celex]rI-'zEm-bl@ns	[nettalk]rIzEmblxns-
[grapheme]resent	[celex]rI-'zEnt	[nettalk]rIzEnt
[grapheme]reservation	"[celex]""rE-z@-'v1-SH"	[nettalk]rEz-RveS-xn
[grapheme]reserve	[celex]rI-'z3v	[nettalk]rIz-Rv-
[grapheme]reserved	[celex]rI-'z3vd	[nettalk]rIz-Rv-d
[grapheme]reservist	[celex]rI-'z3-vIst	[nettalk]rIz-Rvxst
[grapheme]reservoir	[celex]'rE-z@-vw#R	[nettalk]rEz-Rv+-r
[grapheme]reside	[celex]rI-'z2d	[nettalk]rIzAd-
[grapheme]residence	[celex]'rE-zI-d@ns	[nettalk]rEzxdxns-
[grapheme]residential	"[celex]""rE-zI-'dEn-SP"	[nettalk]rEzxdEnC--L
[grapheme]residual	[celex]rI-'zI-dj9l	[nettalk]rIzIJYxl
[grapheme]residuary	[celex]rI-'zI-dj9-rI	[nettalk]rIzIJuEri
[grapheme]residue	[celex]'rE-zI-dju	[nettalk]rEzxdY-
[grapheme]resign	[celex]rI-'z2n	[nettalk]rIzA-n
[grapheme]resignation	"[celex]""rE-zIg-'n1-SH"	[nettalk]rEzIgneS-xn
[grapheme]resigned	[celex]rI-'z2nd	[nettalk]rIzA-n-d
[grapheme]resilient	[celex]rI-'zI-l7nt	[nettalk]rIzIlyxnt
[grapheme]resin	[celex]'rE-zIn	[nettalk]rEz-N
[grapheme]resist	[celex]rI-'zIst	[nettalk]rIzIst
[grapheme]resistor	[celex]rI-'zI-st@R	[nettalk]rIzIst-R
[grapheme]resolute	[celex]'rE-z@-lut	[nettalk]rEzxlut-
[grapheme]resolution	"[celex]""rE-z@-'lu-SH"	[nettalk]rEzxluS-xn
[grapheme]resolve	[celex]rI-'zQlv	[nettalk]rIzalv-
[grapheme]resonance	[celex]'rE-z@-n@ns	[nettalk]rEz-Nxns-
[grapheme]resort	[celex]rI-'z$t	[nettalk]rIzcrt
[grapheme]resound	[celex]rI-'z6nd	[nettalk]rIzW-nd
[grapheme]resource	[celex]rI-'s$s	[nettalk]riso-rs-
[grapheme]respect	[celex]rI-'spEkt	[nettalk]rIspEkt
[grapheme]respectable	[celex]rI-'spEk-t@-bP	[nettalk]rIspEktxbL-
[grapheme]respective	[celex]rI-'spEk-tIv	[nettalk]rIspEktIv-
[grapheme]respiration	"[celex]""rE-sp@-'r1-SH"	[nettalk]rEspxreS-xn
[grapheme]respirator	[celex]'rE-sp@-r1-t@R	[nettalk]rEspxret-R
[grapheme]respiratory	[celex]rI-'sp2-@-r@-t@-rI	[nettalk]rEspxrxtori
[grapheme]respire	[celex]rI-'sp2-@R	[nettalk]rIspAr-
[grapheme]respite	[celex]'rE-sp2t	[nettalk]rEspxt-
[grapheme]resplendent	[celex]rI-'splEn-d@nt	[nettalk]rIsplEndxnt
[grapheme]respond	[celex]rI-'spQnd	[nettalk]rIspand
[grapheme]respondent	[celex]rI-'spQn-d@nt	[nettalk]rIspandxnt
[grapheme]response	[celex]rI-'spQns	[nettalk]rIspans-
[grapheme]responsibility	"[celex]rI-""spQn-s@-'bI-l@-tI"	[nettalk]rIspansxbIlxti
[grapheme]responsible	[celex]rI-'spQn-s@-bP	[nettalk]rIspansxbL-
[grapheme]rest	[celex]'rEst	[nettalk]rEst
